price_usd,lat,lon,area_m2,country,city,property_type
529046.0,,,70.21000000000001,Taiwan,松山區,
385919.0,,,,Taiwan,南港區,
385919.0,,,,Taiwan,南港區,
352160.0,,,67.84,Taiwan,萬華區,
68200.0,,,36.69,Taiwan,內湖區,
12400.0,,,,Taiwan,松山區,
1205280.0,,,270.04,Taiwan,北投區,
31719.014,,,,Taiwan,信義區,
120509.4,,,,Taiwan,信義區,
10336.95,,,,Taiwan,信義區,
434000.0,,,99.62,Taiwan,文山區,
29450.0,,,20.040000000000003,Taiwan,中山區,
3472000.0,,,444.6,Taiwan,中正區,
387500.0,,,40.75,Taiwan,大同區,
930000.0,,,129.5,Taiwan,中正區,
37200.0,,,19.57,Taiwan,萬華區,
139500.0,,,92.01,Taiwan,內湖區,
139500.0,,,92.01,Taiwan,內湖區,
22524.6,,,,Taiwan,信義區,
31000.0,,,14.87,Taiwan,信義區,
5084000.0,,,198.3,Taiwan,北投區,
496000.0,,,97.54,Taiwan,北投區,
186000.0,,,39.010000000000005,Taiwan,大安區,
93000.0,,,19.39,Taiwan,大同區,
29450.0,,,,Taiwan,信義區,
455917.0,,,,Taiwan,內湖區,
449500.0,,,49.58,Taiwan,中山區,
186000.0,,,36.99,Taiwan,中山區,
63550.0,,,49.35,Taiwan,內湖區,
19743900.0,,,,Taiwan,南港區,
71300.0,,,44.99,Taiwan,松山區,
266600.0,,,79.0,Taiwan,北投區,
501580.0,,,65.44,Taiwan,士林區,
186000.0,,,14.35,Taiwan,中正區,
589000.0,,,94.8,Taiwan,內湖區,
80600.0,,,30.8,Taiwan,南港區,
519250.0,,,79.46000000000001,Taiwan,南港區,
223200.0,,,100.81,Taiwan,南港區,
403000.0,,,50.48,Taiwan,信義區,
520800.0,,,98.49,Taiwan,北投區,
21080.0,,,24.62,Taiwan,南港區,
102300.0,,,17.32,Taiwan,士林區,
4129.2,,,,Taiwan,大安區,
1181100.0,,,99.46,Taiwan,信義區,
1016800.0,,,165.43,Taiwan,松山區,
309225.0,,,,Taiwan,文山區,
39576.584,,,,Taiwan,萬華區,
558000.0,,,42.57,Taiwan,信義區,
19669.5,,,,Taiwan,內湖區,
