price,price_usd,currency,country,lat,lon,area_m2,property_type,city,yr,month,date
2500000.0,77500.0,TWD,Taiwan,25.07708591203853,121.58641098251405,34.53,,Taipei,2024.0,4.0,2024-04-01
58600000.0,1816600.0,TWD,Taiwan,25.04712062316642,121.55830321823278,211.53,,Taipei,2024.0,12.0,2024-12-01
2880000.0,89280.0,TWD,Taiwan,25.03015744491616,121.51429135315395,40.97,,Taipei,2024.0,2.0,2024-02-01
695000.0,21545.0,TWD,Taiwan,24.993228488904876,121.57390047893367,,,Taipei,2024.0,11.0,2024-11-01
11300000.0,350300.0,TWD,Taiwan,25.084374473158274,121.589411770474,46.59,,Taipei,2024.0,3.0,2024-03-01
3200000.0,99200.0,TWD,Taiwan,25.085947839378548,121.52169801121283,52.47,,Taipei,2024.0,3.0,2024-03-01
400000.0,12400.0,TWD,Taiwan,24.99029633587758,121.56871445663339,,,Taipei,2024.0,4.0,2024-04-01
7600000.0,235600.0,TWD,Taiwan,25.030459670878336,121.5186517258171,32.58,,Taipei,2024.0,4.0,2024-04-01
1100000.0,34100.0,TWD,Taiwan,25.080292311998775,121.58774510178878,24.98,,Taipei,2024.0,10.0,2024-10-01
2700000.0,83700.0,TWD,Taiwan,25.085446705155363,121.58671111841774,36.63,,Taipei,2024.0,11.0,2024-11-01
330897800.0,10257831.8,TWD,Taiwan,25.059123998089984,121.60697474884596,,,Taipei,2024.0,11.0,2024-11-01
16880000.0,523280.0,TWD,Taiwan,25.058725120476463,121.60697986628443,50.44,,Taipei,2024.0,5.0,2024-05-01
6625000.0,205375.0,TWD,Taiwan,25.08964312990711,121.52297222729852,,,Taipei,2024.0,4.0,2024-04-01
16200000.0,502200.0,TWD,Taiwan,25.1307631504966,121.49811584677752,84.64,,Taipei,2024.0,11.0,2024-11-01
4635000.0,143685.0,TWD,Taiwan,25.064325053725614,121.51392819974943,,,Taipei,2024.0,10.0,2024-10-01
55800000.0,1729800.0,TWD,Taiwan,25.06790218050849,121.52620766263401,236.52,,Taipei,2024.0,8.0,2024-08-01
292000.0,9052.0,TWD,Taiwan,25.13008330304862,121.49437014490249,,,Taipei,2024.0,6.0,2024-06-01
106400.0,3298.4,TWD,Taiwan,25.131257364093347,121.49712622311499,,,Taipei,2024.0,6.0,2024-06-01
4000000.0,124000.0,TWD,Taiwan,25.127574660103978,121.49914621139315,43.94,,Taipei,2024.0,8.0,2024-08-01
110880.0,3437.28,TWD,Taiwan,24.984215173503678,121.57124363026239,,,Taipei,2024.0,7.0,2024-07-01
7500000.0,232500.0,TWD,Taiwan,25.066250103289576,121.5189014248678,32.879999999999995,,Taipei,2024.0,10.0,2024-10-01
1600000.0,49600.0,TWD,Taiwan,25.069424960114283,121.5354306384928,36.64,,Taipei,2024.0,11.0,2024-11-01
21500000.0,666500.0,TWD,Taiwan,25.082711959513677,121.58936024588014,122.64,,Taipei,2024.0,12.0,2024-12-01
4850000.0,150350.0,TWD,Taiwan,25.087014131591566,121.58992393516839,73.53999999999999,,Taipei,2024.0,10.0,2024-10-01
139833.0,4334.823,TWD,Taiwan,25.08444654410019,121.58598988254145,,,Taipei,2024.0,8.0,2024-08-01
139833.0,4334.823,TWD,Taiwan,25.08041952098158,121.58992594745604,,,Taipei,2024.0,2.0,2024-02-01
262451.0,8135.981,TWD,Taiwan,25.08444558242203,121.58884536544433,,,Taipei,2024.0,9.0,2024-09-01
450000.0,13950.0,TWD,Taiwan,25.089152146265864,121.59129087424135,,,Taipei,2024.0,1.0,2024-01-01
3000000.0,93000.0,TWD,Taiwan,25.03085669584356,121.56869107622579,40.03,,Taipei,2024.0,8.0,2024-08-01
41000000.0,1271000.0,TWD,Taiwan,25.061258574623256,121.60807738605696,158.10000000000002,,Taipei,2024.0,12.0,2024-12-01
33427100.0,1036240.1,TWD,Taiwan,25.121521019583643,121.50613095565201,,,Taipei,2024.0,11.0,2024-11-01
9200000.0,285200.0,TWD,Taiwan,25.135287610017503,121.49956495940617,88.86,,Taipei,2024.0,12.0,2024-12-01
33680000.0,1044080.0,TWD,Taiwan,25.02634818827295,121.54560684688839,109.58,,Taipei,2024.0,12.0,2024-12-01
15000000.0,465000.0,TWD,Taiwan,25.061803970598135,121.51576057596685,58.74,,Taipei,2024.0,4.0,2024-04-01
23200000.0,719200.0,TWD,Taiwan,25.06436704310614,121.53039511811245,145.25,,Taipei,2024.0,4.0,2024-04-01
16200000.0,502200.0,TWD,Taiwan,25.0420497243416,121.55889636992725,34.05,,Taipei,2024.0,5.0,2024-05-01
13500000.0,418500.0,TWD,Taiwan,25.131121312448652,121.50005036960313,106.3,,Taipei,2024.0,8.0,2024-08-01
1750000.0,54250.0,TWD,Taiwan,25.033428450286046,121.51739070439419,18.28,,Taipei,2024.0,5.0,2024-05-01
17500000.0,542500.0,TWD,Taiwan,25.039911576178966,121.49490796086458,109.96,,Taipei,2024.0,8.0,2024-08-01
1900000.0,58900.0,TWD,Taiwan,25.080926919126902,121.59009804069704,40.0,,Taipei,2024.0,10.0,2024-10-01
808000.0,25048.0,TWD,Taiwan,25.079766025588427,121.59199199316498,,,Taipei,2024.0,1.0,2024-01-01
10700000.0,331700.0,TWD,Taiwan,25.061992971825664,121.53780457443118,38.25,,Taipei,2024.0,12.0,2024-12-01
1600000.0,49600.0,TWD,Taiwan,25.067661608470807,121.53583708330434,8.6,,Taipei,2024.0,10.0,2024-10-01
3700000.0,114700.0,TWD,Taiwan,25.05131500443864,121.56661272983006,47.96,,Taipei,2024.0,9.0,2024-09-01
42000000.0,1302000.0,TWD,Taiwan,25.052880959184932,121.60293060974844,162.03,,Taipei,2024.0,6.0,2024-06-01
2300000.0,71300.0,TWD,Taiwan,25.052053069732455,121.56148928254689,35.22,,Taipei,2024.0,3.0,2024-03-01
12705000.0,393855.0,TWD,Taiwan,25.09338831019739,121.52573336802296,62.04,,Taipei,2024.0,8.0,2024-08-01
61000000.0,1891000.0,TWD,Taiwan,25.135874579962135,121.50875921173287,216.63,,Taipei,2024.0,9.0,2024-09-01
300000.0,9300.0,TWD,Taiwan,25.03119178762449,121.49476680685858,,,Taipei,2024.0,6.0,2024-06-01
2800000.0,86800.0,TWD,Taiwan,25.06268935141361,121.52864111263128,16.59,,Taipei,2024.0,11.0,2024-11-01
1890000.0,58590.0,TWD,Taiwan,25.03043156738747,121.51460242941822,28.29,,Taipei,2024.0,7.0,2024-07-01
2400000.0,74400.0,TWD,Taiwan,25.126145940207472,121.49150441710276,,,Taipei,2024.0,1.0,2024-01-01
30880000.0,957280.0,TWD,Taiwan,25.035184481108256,121.49589697991328,149.89,,Taipei,2024.0,5.0,2024-05-01
