lat,lon,price,currency,area_m2,yr,city,country,iso,source,property_type
48.895927,2.339901,324000.0,EUR,36.0,2023,Paris 18e Arrondissement,France,FR,france_dvf,
48.889935,2.35425,650000.0,EUR,81.0,2023,Paris 18e Arrondissement,France,FR,france_dvf,
48.892065,2.348054,3000.0,EUR,60.0,2023,Paris 18e Arrondissement,France,FR,france_dvf,
48.882553,2.313307,740000.0,EUR,68.0,2023,Paris 17e Arrondissement,France,FR,france_dvf,
48.895608,2.340249,112000.0,EUR,19.0,2023,Paris 18e Arrondissement,France,FR,france_dvf,
48.881102,2.389225,430000.0,EUR,18.0,2023,Paris 19e Arrondissement,France,FR,france_dvf,
48.875256,2.381849,170000.0,EUR,20.0,2023,Paris 19e Arrondissement,France,FR,france_dvf,
48.878782,2.365172,407000.0,EUR,34.0,2023,Paris 10e Arrondissement,France,FR,france_dvf,
48.863531,2.39854,262500.0,EUR,28.0,2023,Paris 20e Arrondissement,France,FR,france_dvf,
48.873186,2.402724,480000.0,EUR,65.0,2023,Paris 20e Arrondissement,France,FR,france_dvf,
48.853129,2.40988,118000.0,EUR,16.0,2023,Paris 20e Arrondissement,France,FR,france_dvf,
48.888613,2.376709,275000.0,EUR,42.0,2023,Paris 19e Arrondissement,France,FR,france_dvf,
48.883749,2.372571,320000.0,EUR,32.0,2023,Paris 19e Arrondissement,France,FR,france_dvf,
48.889295,2.343788,50000.0,EUR,69.0,2023,Paris 18e Arrondissement,France,FR,france_dvf,
48.877201,2.352312,447500.0,EUR,37.0,2023,Paris 10e Arrondissement,France,FR,france_dvf,
48.848359,2.403598,290000.0,EUR,32.0,2023,Paris 20e Arrondissement,France,FR,france_dvf,
48.889357,2.35218,402500.0,EUR,46.0,2023,Paris 18e Arrondissement,France,FR,france_dvf,
48.884906,2.334212,665000.0,EUR,57.0,2023,Paris 18e Arrondissement,France,FR,france_dvf,
45.774799,4.821381,335000.0,EUR,70.0,2023,Lyon 4e Arrondissement,France,FR,france_dvf,
45.774799,4.821381,335000.0,EUR,65.0,2023,Lyon 4e Arrondissement,France,FR,france_dvf,
45.749705,4.727392,349000.0,EUR,0.0,2023,Craponne,France,FR,france_dvf,
45.670613,4.724042,296909.0,EUR,124.0,2023,Orliénas,France,FR,france_dvf,
45.743032,4.821643,200000.0,EUR,58.0,2023,Lyon 2e Arrondissement,France,FR,france_dvf,
45.747649,4.713363,511900.0,EUR,85.0,2023,Craponne,France,FR,france_dvf,
45.747649,4.713363,511900.0,EUR,85.0,2023,Craponne,France,FR,france_dvf,
45.745033,4.724741,157900.0,EUR,32.0,2023,Craponne,France,FR,france_dvf,
45.75915,4.795455,243500.0,EUR,60.0,2023,Lyon 5e Arrondissement,France,FR,france_dvf,
45.718107,4.758164,667000.0,EUR,135.0,2023,Chaponost,France,FR,france_dvf,
46.027732,4.645037,5000.0,EUR,0.0,2023,Blacé,France,FR,france_dvf,
45.760301,4.831452,598000.0,EUR,91.0,2023,Lyon 2e Arrondissement,France,FR,france_dvf,
45.775844,4.807629,230000.0,EUR,69.0,2023,Lyon 9e Arrondissement,France,FR,france_dvf,
45.993467,4.717269,180600.0,EUR,35.0,2023,Villefranche-sur-Saône,France,FR,france_dvf,
45.83664,4.714726,359000.0,EUR,68.0,2023,Dommartin,France,FR,france_dvf,
46.007542,4.714383,365000.0,EUR,0.0,2023,Gleizé,France,FR,france_dvf,
46.007725,4.713764,365000.0,EUR,0.0,2023,Gleizé,France,FR,france_dvf,
46.007958,4.714309,365000.0,EUR,0.0,2023,Gleizé,France,FR,france_dvf,
45.991981,4.70534,220000.0,EUR,74.0,2023,Villefranche-sur-Saône,France,FR,france_dvf,
45.653174,4.510445,623724.0,EUR,0.0,2023,Duerne,France,FR,france_dvf,
45.653348,4.509883,623724.0,EUR,200.0,2023,Duerne,France,FR,france_dvf,
45.653464,4.509873,623724.0,EUR,0.0,2023,Duerne,France,FR,france_dvf,
45.65335,4.510019,623724.0,EUR,0.0,2023,Duerne,France,FR,france_dvf,
46.185831,4.635266,9428.0,EUR,0.0,2023,Chiroubles,France,FR,france_dvf,
45.744794,4.820142,117877.53,EUR,22.0,2023,Lyon 2e Arrondissement,France,FR,france_dvf,
45.605958,4.783506,179000.0,EUR,63.0,2023,Grigny,France,FR,france_dvf,
45.577899,4.659666,400000.0,EUR,100.0,2023,Beauvallon,France,FR,france_dvf,
45.707959,4.588999,230000.0,EUR,52.0,2023,Yzeron,France,FR,france_dvf,
45.707959,4.588999,230000.0,EUR,47.0,2023,Yzeron,France,FR,france_dvf,
45.979254,4.71822,243915.0,EUR,78.0,2023,Villefranche-sur-Saône,France,FR,france_dvf,
45.987485,4.722613,156000.0,EUR,56.0,2023,Villefranche-sur-Saône,France,FR,france_dvf,
45.775097,4.838563,182340.0,EUR,45.0,2023,Lyon 4e Arrondissement,France,FR,france_dvf,
45.854727,4.683504,210000.0,EUR,54.0,2023,Lozanne,France,FR,france_dvf,
46.111566,4.733571,176900.0,EUR,57.0,2023,Belleville-en-Beaujolais,France,FR,france_dvf,
45.800079,4.87861,330000.0,EUR,65.0,2023,Rillieux-la-Pape,France,FR,france_dvf,
45.883126,4.852868,398200.0,EUR,88.0,2023,Neuville-sur-Saône,France,FR,france_dvf,
45.726409,4.813493,130000.0,EUR,38.0,2023,La Mulatière,France,FR,france_dvf,
45.865594,4.765204,571000.0,EUR,98.0,2023,Chasselay,France,FR,france_dvf,
45.786769,4.836782,244300.0,EUR,62.0,2023,Caluire-et-Cuire,France,FR,france_dvf,
45.739466,4.768147,7064.0,EUR,0.0,2023,Francheville,France,FR,france_dvf,
45.73943,4.767837,7064.0,EUR,0.0,2023,Francheville,France,FR,france_dvf,
45.771667,4.834148,179000.0,EUR,32.0,2023,Lyon 1er Arrondissement,France,FR,france_dvf,
45.796413,4.788396,206000.0,EUR,60.0,2023,Champagne-au-Mont-d'Or,France,FR,france_dvf,
45.742915,4.822923,255000.0,EUR,41.0,2023,Lyon 2e Arrondissement,France,FR,france_dvf,
45.998843,4.45996,65000.0,EUR,0.0,2023,Saint-Just-d'Avray,France,FR,france_dvf,
45.998156,4.460724,65000.0,EUR,0.0,2023,Saint-Just-d'Avray,France,FR,france_dvf,
46.120835,4.643677,5250.0,EUR,0.0,2023,Cercié,France,FR,france_dvf,
46.121867,4.642603,5250.0,EUR,0.0,2023,Cercié,France,FR,france_dvf,
45.894648,4.432617,55000.0,EUR,28.0,2023,Tarare,France,FR,france_dvf,
45.706418,4.807012,252250.0,EUR,89.0,2023,Oullins,France,FR,france_dvf,
46.206724,4.485182,32022.0,EUR,0.0,2023,Deux-Grosnes,France,FR,france_dvf,
46.215616,4.477601,32022.0,EUR,0.0,2023,Saint-Igny-de-Vers,France,FR,france_dvf,
45.504435,4.688989,233850.0,EUR,0.0,2023,Longes,France,FR,france_dvf,
45.504613,4.688896,233850.0,EUR,87.0,2023,Longes,France,FR,france_dvf,
45.504548,4.688911,233850.0,EUR,0.0,2023,Longes,France,FR,france_dvf,
45.706831,4.745283,310000.0,EUR,135.0,2023,Chaponost,France,FR,france_dvf,
45.706701,4.745313,310000.0,EUR,0.0,2023,Chaponost,France,FR,france_dvf,
45.706751,4.745349,310000.0,EUR,0.0,2023,Chaponost,France,FR,france_dvf,
45.72194,4.811988,117000.0,EUR,16.0,2023,La Mulatière,France,FR,france_dvf,
45.675298,4.75726,967650.0,EUR,148.0,2023,Brignais,France,FR,france_dvf,
45.675228,4.757208,967650.0,EUR,40.0,2023,Brignais,France,FR,france_dvf,
45.675215,4.757159,967650.0,EUR,0.0,2023,Brignais,France,FR,france_dvf,
45.777928,4.825742,344750.0,EUR,49.0,2023,Lyon 4e Arrondissement,France,FR,france_dvf,
45.789491,4.807267,385000.0,EUR,85.0,2023,Saint-Didier-au-Mont-d'Or,France,FR,france_dvf,
46.13857,4.668818,17895.0,EUR,0.0,2023,Régnié-Durette,France,FR,france_dvf,
46.138486,4.667733,17895.0,EUR,0.0,2023,Régnié-Durette,France,FR,france_dvf,
46.138435,4.669159,17895.0,EUR,0.0,2023,Régnié-Durette,France,FR,france_dvf,
46.138435,4.669159,17895.0,EUR,0.0,2023,Régnié-Durette,France,FR,france_dvf,
46.138037,4.656232,10279.0,EUR,0.0,2023,Régnié-Durette,France,FR,france_dvf,
46.138037,4.656232,10279.0,EUR,0.0,2023,Régnié-Durette,France,FR,france_dvf,
46.153403,4.476612,24000.0,EUR,0.0,2023,Poule-les-Écharmeaux,France,FR,france_dvf,
46.153403,4.476612,24000.0,EUR,0.0,2023,Poule-les-Écharmeaux,France,FR,france_dvf,
46.142968,4.474882,24000.0,EUR,0.0,2023,Poule-les-Écharmeaux,France,FR,france_dvf,
46.140503,4.472048,24000.0,EUR,0.0,2023,Poule-les-Écharmeaux,France,FR,france_dvf,
46.131749,4.428282,24000.0,EUR,0.0,2023,Poule-les-Écharmeaux,France,FR,france_dvf,
46.131749,4.428282,24000.0,EUR,0.0,2023,Poule-les-Écharmeaux,France,FR,france_dvf,
46.140348,4.468137,24000.0,EUR,0.0,2023,Poule-les-Écharmeaux,France,FR,france_dvf,
46.141985,4.468,24000.0,EUR,0.0,2023,Poule-les-Écharmeaux,France,FR,france_dvf,
45.659082,4.778202,240000.0,EUR,41.0,2023,Vourles,France,FR,france_dvf,
45.758442,4.813367,243000.0,EUR,53.0,2023,Lyon 5e Arrondissement,France,FR,france_dvf,
43.275858,5.428605,395000.0,EUR,120.0,2023,Marseille 10e Arrondissement,France,FR,france_dvf,
43.285921,5.367371,315630.0,EUR,70.0,2023,Marseille 7e Arrondissement,France,FR,france_dvf,
43.312507,5.383981,52000.0,EUR,33.0,2023,Marseille 3e Arrondissement,France,FR,france_dvf,
43.248661,5.37557,34250.0,EUR,89.0,2023,Marseille 8e Arrondissement,France,FR,france_dvf,
43.302894,5.449902,167000.0,EUR,50.0,2023,Marseille 12e Arrondissement,France,FR,france_dvf,
43.324257,5.37481,109000.0,EUR,52.0,2023,Marseille 14e Arrondissement,France,FR,france_dvf,
43.300156,5.389773,133150.0,EUR,37.0,2023,Marseille 4e Arrondissement,France,FR,france_dvf,
43.315926,5.40336,78000.0,EUR,49.0,2023,Marseille 13e Arrondissement,France,FR,france_dvf,
43.306732,5.384192,83000.0,EUR,55.0,2023,Marseille 3e Arrondissement,France,FR,france_dvf,
43.308501,5.380575,220000.0,EUR,62.0,2023,Marseille 3e Arrondissement,France,FR,france_dvf,
43.387768,5.368495,275000.0,EUR,80.0,2023,Marseille 15e Arrondissement,France,FR,france_dvf,
43.278475,5.382735,699470.0,EUR,119.0,2023,Marseille 8e Arrondissement,France,FR,france_dvf,
43.309063,5.448682,144000.0,EUR,37.0,2023,Marseille 12e Arrondissement,France,FR,france_dvf,
43.301315,5.396563,99000.0,EUR,25.0,2023,Marseille 4e Arrondissement,France,FR,france_dvf,
43.312316,5.401116,109000.0,EUR,41.0,2023,Marseille 4e Arrondissement,France,FR,france_dvf,
43.311649,5.387661,149000.0,EUR,52.0,2023,Marseille 3e Arrondissement,France,FR,france_dvf,
43.303484,5.367936,109137.0,EUR,42.0,2023,Marseille 2e Arrondissement,France,FR,france_dvf,
43.288153,5.394221,200000.0,EUR,33.0,2023,Marseille 5e Arrondissement,France,FR,france_dvf,
43.288153,5.394221,200000.0,EUR,75.0,2023,Marseille 5e Arrondissement,France,FR,france_dvf,
43.293064,5.408947,109000.0,EUR,32.0,2023,Marseille 5e Arrondissement,France,FR,france_dvf,
