price,currency,country,iso,source,city,district,yr,area_m2,property_type,detail
110880.0,TWD,Taiwan,TW,tw_real_price,Taipei,文山區,2024.0,,,
7500000.0,TWD,Taiwan,TW,tw_real_price,Taipei,大同區,2024.0,32.879999999999995,,
1600000.0,TWD,Taiwan,TW,tw_real_price,Taipei,中山區,2024.0,36.64,,
21500000.0,TWD,Taiwan,TW,tw_real_price,Taipei,內湖區,2024.0,122.64,,
4850000.0,TWD,Taiwan,TW,tw_real_price,Taipei,內湖區,2024.0,73.53999999999999,,
139833.0,TWD,Taiwan,TW,tw_real_price,Taipei,內湖區,2024.0,,,
139833.0,TWD,Taiwan,TW,tw_real_price,Taipei,內湖區,2024.0,,,
262451.0,TWD,Taiwan,TW,tw_real_price,Taipei,內湖區,2024.0,,,
450000.0,TWD,Taiwan,TW,tw_real_price,Taipei,內湖區,2024.0,,,
3000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,信義區,2024.0,40.03,,
41000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,南港區,2024.0,158.10000000000002,,
33427100.0,TWD,Taiwan,TW,tw_real_price,Taipei,北投區,2024.0,,,
9200000.0,TWD,Taiwan,TW,tw_real_price,Taipei,北投區,2024.0,88.86,,
33680000.0,TWD,Taiwan,TW,tw_real_price,Taipei,大安區,2024.0,109.58,,
15000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,大同區,2024.0,58.74,,
23200000.0,TWD,Taiwan,TW,tw_real_price,Taipei,中山區,2024.0,145.25,,
16200000.0,TWD,Taiwan,TW,tw_real_price,Taipei,松山區,2024.0,34.05,,
926.0,TWD,Taiwan,TW,tw_real_price,Taipei,北投區,2024.0,,,
13500000.0,TWD,Taiwan,TW,tw_real_price,Taipei,北投區,2024.0,106.3,,
1750000.0,TWD,Taiwan,TW,tw_real_price,Taipei,中正區,2024.0,18.28,,
17500000.0,TWD,Taiwan,TW,tw_real_price,Taipei,萬華區,2024.0,109.96,,
1900000.0,TWD,Taiwan,TW,tw_real_price,Taipei,內湖區,2024.0,40.0,,
808000.0,TWD,Taiwan,TW,tw_real_price,Taipei,內湖區,2024.0,,,
10700000.0,TWD,Taiwan,TW,tw_real_price,Taipei,中山區,2024.0,38.25,,
1600000.0,TWD,Taiwan,TW,tw_real_price,Taipei,中山區,2024.0,8.6,,
3700000.0,TWD,Taiwan,TW,tw_real_price,Taipei,松山區,2024.0,47.96,,
42000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,南港區,2024.0,162.03,,
2300000.0,TWD,Taiwan,TW,tw_real_price,Taipei,松山區,2024.0,35.22,,
12705000.0,TWD,Taiwan,TW,tw_real_price,Taipei,士林區,2024.0,62.04,,
61000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,北投區,2024.0,216.63,,
300000.0,TWD,Taiwan,TW,tw_real_price,Taipei,萬華區,2024.0,,,
2800000.0,TWD,Taiwan,TW,tw_real_price,Taipei,中山區,2024.0,16.59,,
1890000.0,TWD,Taiwan,TW,tw_real_price,Taipei,中正區,2024.0,28.29,,
2400000.0,TWD,Taiwan,TW,tw_real_price,Taipei,北投區,2024.0,,,
30880000.0,TWD,Taiwan,TW,tw_real_price,Taipei,萬華區,2024.0,149.89,,
21424000.0,TWD,Taiwan,TW,tw_real_price,Taipei,中山區,2024.0,,,
23794000.0,TWD,Taiwan,TW,tw_real_price,Taipei,中山區,2024.0,,,
2000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,中正區,2024.0,14.77,,
12449000.0,TWD,Taiwan,TW,tw_real_price,Taipei,南港區,2024.0,,,
700000.0,TWD,Taiwan,TW,tw_real_price,Taipei,大安區,2024.0,,,
288585.0,TWD,Taiwan,TW,tw_real_price,Taipei,南港區,2024.0,,,
20000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,松山區,2024.0,79.7,,
5080800.0,TWD,Taiwan,TW,tw_real_price,Taipei,萬華區,2024.0,,,
12000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,中山區,2024.0,52.94,,
3300000.0,TWD,Taiwan,TW,tw_real_price,Taipei,中山區,2024.0,33.22,,
2000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,中山區,2024.0,30.79,,
486812.0,TWD,Taiwan,TW,tw_real_price,Taipei,松山區,2024.0,,,
67000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,士林區,2024.0,,,
2950000.0,TWD,Taiwan,TW,tw_real_price,Taipei,士林區,2024.0,36.830000000000005,,
7330000.0,TWD,Taiwan,TW,tw_real_price,Taipei,士林區,2024.0,58.48,,
668400.0,TWD,Taiwan,TW,tw_real_price,Taipei,大安區,2024.0,,,
12994688.0,TWD,Taiwan,TW,tw_real_price,Taipei,大安區,2024.0,,,
1050000.0,TWD,Taiwan,TW,tw_real_price,Taipei,大安區,2024.0,17.69,,
277500.0,TWD,Taiwan,TW,tw_real_price,Taipei,文山區,2024.0,,,
277500.0,TWD,Taiwan,TW,tw_real_price,Taipei,文山區,2024.0,,,
277500.0,TWD,Taiwan,TW,tw_real_price,Taipei,文山區,2024.0,,,
277500.0,TWD,Taiwan,TW,tw_real_price,Taipei,文山區,2024.0,,,
139000.0,TWD,Taiwan,TW,tw_real_price,Taipei,文山區,2024.0,,,
139000.0,TWD,Taiwan,TW,tw_real_price,Taipei,文山區,2024.0,,,
19540481.0,TWD,Taiwan,TW,tw_real_price,Taipei,內湖區,2024.0,,,
3908096.0,TWD,Taiwan,TW,tw_real_price,Taipei,內湖區,2024.0,,,
3908096.0,TWD,Taiwan,TW,tw_real_price,Taipei,內湖區,2024.0,,,
619954.0,TWD,Taiwan,TW,tw_real_price,Taipei,內湖區,2024.0,,,
51332448.0,TWD,Taiwan,TW,tw_real_price,Taipei,內湖區,2024.0,,,
3908096.0,TWD,Taiwan,TW,tw_real_price,Taipei,內湖區,2024.0,,,
684600.0,TWD,Taiwan,TW,tw_real_price,Taipei,士林區,2024.0,,,
133308.0,TWD,Taiwan,TW,tw_real_price,Taipei,士林區,2024.0,,,
210240.0,TWD,Taiwan,TW,tw_real_price,Taipei,士林區,2024.0,,,
12994688.0,TWD,Taiwan,TW,tw_real_price,Taipei,大安區,2024.0,,,
12994688.0,TWD,Taiwan,TW,tw_real_price,Taipei,大安區,2024.0,,,
8980000.0,TWD,Taiwan,TW,tw_real_price,Taipei,大同區,2024.0,46.65,,
1497900.0,TWD,Taiwan,TW,tw_real_price,Taipei,中正區,2024.0,,,
7000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,大同區,2024.0,,,
664950.0,TWD,Taiwan,TW,tw_real_price,Taipei,松山區,2024.0,,,
236560.0,TWD,Taiwan,TW,tw_real_price,Taipei,信義區,2024.0,,,
2002000.0,TWD,Taiwan,TW,tw_real_price,Taipei,北投區,2024.0,,,
7500000.0,TWD,Taiwan,TW,tw_real_price,Taipei,北投區,2024.0,55.94,,
1000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,士林區,2024.0,,,
482300.0,TWD,Taiwan,TW,tw_real_price,Taipei,大安區,2024.0,,,
2500000.0,TWD,Taiwan,TW,tw_real_price,Taipei,大同區,2024.0,,,
35.0,TWD,Taiwan,TW,tw_real_price,Taipei,萬華區,2024.0,,,
11400000.0,TWD,Taiwan,TW,tw_real_price,Taipei,信義區,2024.0,65.62,,
685000.0,TWD,Taiwan,TW,tw_real_price,Taipei,士林區,2024.0,,,
525000.0,TWD,Taiwan,TW,tw_real_price,Taipei,士林區,2024.0,,,
544500.0,TWD,Taiwan,TW,tw_real_price,Taipei,大同區,2024.0,,,
1235000.0,TWD,Taiwan,TW,tw_real_price,Taipei,中山區,2024.0,,,
1219752.0,TWD,Taiwan,TW,tw_real_price,Taipei,中山區,2024.0,,,
724214.0,TWD,Taiwan,TW,tw_real_price,Taipei,中山區,2024.0,,,
18021539.0,TWD,Taiwan,TW,tw_real_price,Taipei,中山區,2024.0,,,
10104350.0,TWD,Taiwan,TW,tw_real_price,Taipei,中山區,2024.0,129.34,,
17066000.0,TWD,Taiwan,TW,tw_real_price,Taipei,松山區,2024.0,70.21000000000001,,
12449000.0,TWD,Taiwan,TW,tw_real_price,Taipei,南港區,2024.0,,,
12449000.0,TWD,Taiwan,TW,tw_real_price,Taipei,南港區,2024.0,,,
11360000.0,TWD,Taiwan,TW,tw_real_price,Taipei,萬華區,2024.0,67.84,,
2200000.0,TWD,Taiwan,TW,tw_real_price,Taipei,內湖區,2024.0,36.69,,
400000.0,TWD,Taiwan,TW,tw_real_price,Taipei,松山區,2024.0,,,
38880000.0,TWD,Taiwan,TW,tw_real_price,Taipei,北投區,2024.0,270.04,,
1023194.0,TWD,Taiwan,TW,tw_real_price,Taipei,信義區,2024.0,,,
3887400.0,TWD,Taiwan,TW,tw_real_price,Taipei,信義區,2024.0,,,
333450.0,TWD,Taiwan,TW,tw_real_price,Taipei,信義區,2024.0,,,
14000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,文山區,2024.0,99.62,,
950000.0,TWD,Taiwan,TW,tw_real_price,Taipei,中山區,2024.0,20.040000000000003,,
112000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,中正區,2024.0,444.6,,
12500000.0,TWD,Taiwan,TW,tw_real_price,Taipei,大同區,2024.0,40.75,,
30000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,中正區,2024.0,129.5,,
1200000.0,TWD,Taiwan,TW,tw_real_price,Taipei,萬華區,2024.0,19.57,,
4500000.0,TWD,Taiwan,TW,tw_real_price,Taipei,內湖區,2024.0,92.01,,
4500000.0,TWD,Taiwan,TW,tw_real_price,Taipei,內湖區,2024.0,92.01,,
726600.0,TWD,Taiwan,TW,tw_real_price,Taipei,信義區,2024.0,,,
1000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,信義區,2024.0,14.870000000000001,,
164000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,北投區,2024.0,198.3,,
16000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,北投區,2024.0,97.53999999999999,,
6000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,大安區,2024.0,39.010000000000005,,
3000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,大同區,2024.0,19.39,,
950000.0,TWD,Taiwan,TW,tw_real_price,Taipei,信義區,2024.0,,,
14707000.0,TWD,Taiwan,TW,tw_real_price,Taipei,內湖區,2024.0,,,
14500000.0,TWD,Taiwan,TW,tw_real_price,Taipei,中山區,2024.0,49.58,,
6000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,中山區,2024.0,36.989999999999995,,
2050000.0,TWD,Taiwan,TW,tw_real_price,Taipei,內湖區,2024.0,49.35,,
636900000.0,TWD,Taiwan,TW,tw_real_price,Taipei,南港區,2024.0,,,
2300000.0,TWD,Taiwan,TW,tw_real_price,Taipei,松山區,2024.0,44.989999999999995,,
8600000.0,TWD,Taiwan,TW,tw_real_price,Taipei,北投區,2024.0,79.0,,
16180000.0,TWD,Taiwan,TW,tw_real_price,Taipei,士林區,2024.0,65.44,,
6000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,中正區,2024.0,14.35,,
19000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,內湖區,2024.0,94.8,,
2600000.0,TWD,Taiwan,TW,tw_real_price,Taipei,南港區,2024.0,30.8,,
16750000.0,TWD,Taiwan,TW,tw_real_price,Taipei,南港區,2024.0,79.46000000000001,,
7200000.0,TWD,Taiwan,TW,tw_real_price,Taipei,南港區,2024.0,100.81,,
13000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,信義區,2024.0,50.48,,
16800000.0,TWD,Taiwan,TW,tw_real_price,Taipei,北投區,2024.0,98.49000000000001,,
680000.0,TWD,Taiwan,TW,tw_real_price,Taipei,南港區,2024.0,24.62,,
3300000.0,TWD,Taiwan,TW,tw_real_price,Taipei,士林區,2024.0,17.32,,
133200.0,TWD,Taiwan,TW,tw_real_price,Taipei,大安區,2024.0,,,
38100000.0,TWD,Taiwan,TW,tw_real_price,Taipei,信義區,2024.0,99.46,,
32800000.0,TWD,Taiwan,TW,tw_real_price,Taipei,松山區,2024.0,165.43,,
9975000.0,TWD,Taiwan,TW,tw_real_price,Taipei,文山區,2024.0,,,
1276664.0,TWD,Taiwan,TW,tw_real_price,Taipei,萬華區,2024.0,,,
18000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,信義區,2024.0,42.57,,
634500.0,TWD,Taiwan,TW,tw_real_price,Taipei,內湖區,2024.0,,,
13200000.0,TWD,Taiwan,TW,tw_real_price,Taipei,萬華區,2024.0,72.49000000000001,,
19080000.0,TWD,Taiwan,TW,tw_real_price,Taipei,內湖區,2024.0,101.89,,
4620000.0,TWD,Taiwan,TW,tw_real_price,Taipei,大同區,2024.0,10.559999999999999,,
6960178.0,TWD,Taiwan,TW,tw_real_price,Taipei,信義區,2024.0,,,
6569898.0,TWD,Taiwan,TW,tw_real_price,Taipei,信義區,2024.0,,,
9880000.0,TWD,Taiwan,TW,tw_real_price,Taipei,大同區,2024.0,61.900000000000006,,
2440000.0,TWD,Taiwan,TW,tw_real_price,Taipei,萬華區,2024.0,16.92,,
1400000.0,TWD,Taiwan,TW,tw_real_price,Taipei,松山區,2024.0,12.46,,
600000.0,TWD,Taiwan,TW,tw_real_price,Taipei,北投區,2024.0,,,
12680000.0,TWD,Taiwan,TW,tw_real_price,Taipei,大安區,2024.0,37.56,,
11000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,文山區,2024.0,138.06,,
500000.0,TWD,Taiwan,TW,tw_real_price,Taipei,中山區,2024.0,20.9,,
2450000.0,TWD,Taiwan,TW,tw_real_price,Taipei,北投區,2024.0,13.49,,
1050000.0,TWD,Taiwan,TW,tw_real_price,Taipei,大安區,2024.0,9.940000000000001,,
19200000.0,TWD,Taiwan,TW,tw_real_price,Taipei,松山區,2024.0,82.33,,
5890000.0,TWD,Taiwan,TW,tw_real_price,Taipei,北投區,2024.0,31.48,,
1300000.0,TWD,Taiwan,TW,tw_real_price,Taipei,北投區,2024.0,,,
2100000.0,TWD,Taiwan,TW,tw_real_price,Taipei,大安區,2024.0,19.87,,
17000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,文山區,2024.0,91.83,,
6000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,萬華區,2024.0,,,
23300000.0,TWD,Taiwan,TW,tw_real_price,Taipei,中正區,2024.0,81.46,,
3600000.0,TWD,Taiwan,TW,tw_real_price,Taipei,中山區,2024.0,39.5,,
2101097.0,TWD,Taiwan,TW,tw_real_price,Taipei,內湖區,2024.0,,,
1447200.0,TWD,Taiwan,TW,tw_real_price,Taipei,士林區,2024.0,,,
35000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,松山區,2024.0,56.67,,
12000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,文山區,2024.0,63.25,,
3860000.0,TWD,Taiwan,TW,tw_real_price,Taipei,萬華區,2024.0,32.92,,
10000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,中山區,2024.0,48.9,,
4100000.0,TWD,Taiwan,TW,tw_real_price,Taipei,內湖區,2024.0,47.129999999999995,,
2630000.0,TWD,Taiwan,TW,tw_real_price,Taipei,松山區,2024.0,22.95,,
5800000.0,TWD,Taiwan,TW,tw_real_price,Taipei,士林區,2024.0,,,
100000.0,TWD,Taiwan,TW,tw_real_price,Taipei,士林區,2024.0,,,
100000.0,TWD,Taiwan,TW,tw_real_price,Taipei,士林區,2024.0,,,
3980000.0,TWD,Taiwan,TW,tw_real_price,Taipei,北投區,2024.0,38.230000000000004,,
1550000.0,TWD,Taiwan,TW,tw_real_price,Taipei,中正區,2024.0,10.0,,
4300000.0,TWD,Taiwan,TW,tw_real_price,Taipei,萬華區,2024.0,40.35,,
2000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,內湖區,2024.0,39.05,,
1580000.0,TWD,Taiwan,TW,tw_real_price,Taipei,內湖區,2024.0,46.919999999999995,,
1850000.0,TWD,Taiwan,TW,tw_real_price,Taipei,松山區,2024.0,18.0,,
30490000.0,TWD,Taiwan,TW,tw_real_price,Taipei,信義區,2024.0,92.88,,
5000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,萬華區,2024.0,31.18,,
6000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,士林區,2024.0,,,
1500000.0,TWD,Taiwan,TW,tw_real_price,Taipei,大安區,2024.0,1.19,,
2700000.0,TWD,Taiwan,TW,tw_real_price,Taipei,文山區,2024.0,41.16,,
3800000.0,TWD,Taiwan,TW,tw_real_price,Taipei,中山區,2024.0,52.29,,
2600000.0,TWD,Taiwan,TW,tw_real_price,Taipei,信義區,2024.0,44.65,,
26000000.0,TWD,Taiwan,TW,tw_real_price,Taipei,信義區,2024.0,99.57,,
44380000.0,TWD,Taiwan,TW,tw_real_price,Taipei,信義區,2024.0,152.82,,
2180000.0,TWD,Taiwan,TW,tw_real_price,Taipei,南港區,2024.0,39.83,,
3150000.0,TWD,Taiwan,TW,tw_real_price,Taipei,士林區,2024.0,44.93,,
1450000.0,TWD,Taiwan,TW,tw_real_price,Taipei,大同區,2024.0,14.99,,
12142000.0,TWD,Taiwan,TW,tw_real_price,Taipei,大同區,2024.0,61.75,,
450000.0,TWD,Taiwan,TW,tw_real_price,Taipei,大同區,2024.0,,,
2080000.0,TWD,Taiwan,TW,tw_real_price,Taipei,中山區,2024.0,27.41,,
