price,currency,country,iso,source,city,yr,property_type,area_m2,detail
1130811.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,12.13,
1130814.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,82.65,
1130804.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,37.0,
1130809.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,9.55,
1130808.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,15.8,
1130809.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,19.0,
1130809.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,,
1130812.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,14.74,
1130812.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,40.0,
1130809.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,5.76,
1130802.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,36.64,
1130813.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,50.76,
1130809.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,73.53999999999999,
1130812.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,42.0,
1130812.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,42.0,
1130812.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,42.0,
1130812.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,42.0,
1130812.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,40.03,
1130815.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,24.51,
1130801.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,417.0,
1130801.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,40.33,
1130808.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,39.0,
1130805.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,17.2,
1130803.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,28.59,
1130806.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,34.05,
1130814.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,926.0,
1130816.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,23.56,
1130809.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,18.28,
1130804.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,38.5,
1130806.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,40.0,
1130814.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,1612.55,
1130801.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,5.73,
1130818.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,8.6,
1130808.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,47.96,
1130814.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,92.29,
1130815.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,35.22,
1130819.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,100.0,
1130808.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,47.03,
1130802.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,7.08,
1130805.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,82.69,
1130805.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,41.35,
1130808.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,796.83,
1130801.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,31.25,
1130812.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,34.81,
1130816.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,5.67,
1130813.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,26.88,
